"","host_response_rate","host_acceptance_rate","host_listings_count","accommodates","room_type","bedrooms","bathrooms","beds","price","minimum_nights","maximum_nights","number_of_reviews","latitude","longitude","city","zipcode","state","tidy_price"
"603","90%","100%",1,2,"Entire home/apt",1,1,1,"$150.00",2,6,7,38.9099542646514,-77.0247215270788,"Washington","20001","DC",150
"604","80%","100%",1,4,"Entire home/apt",1,1,1,"$95.00",3,365,13,38.9058429179613,-77.0312395331232,"Washington","20005","DC",95
"605","91%","69%",8,7,"Entire home/apt",3,1.5,4,"$250.00",1,1125,6,38.9076014902844,-77.0242176346101,"Washington","20001","DC",250
"606","100%","100%",1,2,"Private room",1,1,1,"$65.00",1,29,26,38.9093872769283,-77.0183034075194,"Washington","20001","DC",65
"607","60%","100%",1,1,"Private room",1,1,1,"$70.00",4,1125,1,38.910586019052,-77.0285500745476,"Washington","20005","DC",70
"608","83%","100%",1,7,"Entire home/apt",3,1.5,4,"$290.00",2,90,36,38.9113537110627,-77.0175449001442,"Washington","20001","DC",290
"609","100%","99%",4,2,"Entire home/apt",1,1,1,"$120.00",1,1125,133,38.9108469073076,-77.0303129528902,"Washington","20005","DC",120
"610","100%","80%",1,6,"Entire home/apt",1,1,3,"$130.00",2,1125,4,38.9067784555942,-77.0337067191428,"Washington","20005","DC",130
"611","100%","100%",2,2,"Private room",1,1,1,"$84.00",3,21,22,38.9078057872768,-77.0164595191014,"Washington","20001","DC",84
"612","100%","11%",1,2,"Entire home/apt",1,1,1,"$129.00",1,1125,1,38.9092246434507,-77.021248608705,"Washington","20001","DC",129
"613","100%","100%",1,3,"Entire home/apt",0,1,1,"$125.00",1,1125,2,38.9074059059185,-77.0344830298655,"Washington","20005","DC",125
"614","100%","0%",1,3,"Entire home/apt",1,1,1,"$150.00",1,1125,5,38.9070305449774,-77.0295095204635,"Washington","20005","DC",150
"615","100%","50%",1,3,"Entire home/apt",1,1,1,"$130.00",2,1125,5,38.9092652151971,-77.0224318187661,"Washington","20001","DC",130
"616","100%","25%",1,2,"Entire home/apt",1,1,1,"$210.00",3,20,11,38.9105274308294,-77.0318826409253,"Washington","20005","DC",210
"617","100%","100%",1,6,"Entire home/apt",3,2.5,3,"$497.00",1,1125,51,38.9126904473494,-77.0304462464537,"Washington","20009","DC",497
"618","99%","98%",222,2,"Entire home/apt",0,1,1,"$100.00",3,1125,1,38.9068111657863,-77.0342163811819,"Washington","20005","DC",100
"619","86%","100%",1,6,"Entire home/apt",2,3,2,"$300.00",1,1125,1,38.9116101381254,-77.0215659367439,"Washington","20001","DC",300
"620","100%","57%",1,3,"Entire home/apt",0,1,2,"$108.00",1,1125,1,38.9127254926614,-77.0337664227777,"Washington","20009","DC",108
"621","","",1,6,"Entire home/apt",2,2.5,2,"$300.00",4,1125,0,38.906171928974,-77.0155791778194,"Washington","20001","DC",300
"622","92%","95%",1,4,"Private room",1,1,2,"$75.00",1,1125,4,38.9095550272723,-77.0310676251148,"Washington","20005","DC",75
"623","100%","100%",1,2,"Entire home/apt",1,1,1,"$120.00",1,14,15,38.9080886594632,-77.0239073703387,"Washington","20001","DC",120
"624","58%","51%",480,2,"Entire home/apt",1,1,1,"$249.00",4,730,0,38.9078258046615,-77.0316538832722,"Washington","20005","DC",249
"625","100%","100%",1,2,"Shared room",1,1,1,"$100.00",1,1125,1,38.9123420471887,-77.0326187688068,"Washington","20009","DC",100
"626","41%","93%",1,4,"Entire home/apt",1,1,1,"$125.00",2,365,27,38.9074890292877,-77.0328890888309,"Washington","20005","DC",125
"627","100%","100%",1,1,"Entire home/apt",0,1,1,"$145.00",1,1125,2,38.9073495948044,-77.024018857689,"Washington","20001","DC",145
"628","100%","77%",2,4,"Entire home/apt",2,2,2,"$330.00",2,1125,17,38.9092532637083,-77.0307593406535,"Washington","20005","DC",330
"629","100%","100%",1,1,"Private room",1,1,1,"$60.00",2,93,6,38.9125807108076,-77.0200589318613,"Washington","20001","DC",60
"630","90%","100%",1,2,"Private room",1,1.5,1,"$69.00",1,1125,77,38.9106768823234,-77.0177773743636,"Washington","20001","DC",69
"631","100%","95%",5,4,"Private room",1,1,2,"$130.00",3,1125,15,38.9117916910413,-77.0215187461675,"Washington","20001","DC",130
"632","100%","100%",1,2,"Entire home/apt",1,1,1,"$129.00",3,90,71,38.9087855210714,-77.0334499827532,"Washington","20005","DC",129
"633","58%","51%",480,2,"Entire home/apt",1,1,1,"$249.00",4,730,0,38.9089024551114,-77.0319739931328,"Washington","20005","DC",249
"634","98%","79%",6,6,"Entire home/apt",1,1,3,"$79.00",1,29,2,38.9074778032604,-77.0334190428513,"Washington","20005","DC",79
"635","94%","94%",2,4,"Entire home/apt",1,1,2,"$164.00",2,365,23,38.9122707884064,-77.0287220248956,"Washington","20005","DC",164
"636","98%","79%",6,6,"Entire home/apt",2,2,3,"$164.00",1,27,0,38.9073987434039,-77.0332654444677,"Washington","20005","DC",164
"637","90%","60%",1,4,"Entire home/apt",2,2,2,"$299.00",1,1125,9,38.9116368606136,-77.0230677557226,"Washington","20001","DC",299
"638","100%","100%",1,2,"Entire home/apt",1,1,1,"$130.00",2,8,10,38.9066906240667,-77.0334127728067,"Washington","20005","DC",130
"639","63%","75%",1,2,"Entire home/apt",1,1,1,"$125.00",2,4,8,38.9077480920122,-77.0232320856232,"Washington","20001","DC",125
"640","","",1,2,"Private room",1,1,1,"$190.00",2,6,0,38.9090022603199,-77.0263733240429,"Washington","20001","DC",190
"641","","",1,2,"Private room",1,1.5,1,"$125.00",1,3,0,38.9092563746646,-77.0200967462602,"Washington","20001","DC",125
"642","79%","72%",3,2,"Private room",1,1,1,"$65.00",3,365,3,38.90965484278,-77.0247502177199,"Washington","20001","DC",65
"643","100%","50%",1,2,"Private room",1,1.5,1,"$75.00",2,14,15,38.9074057710153,-77.0268581502741,"Washington","20005","DC",75
"644","100%","100%",1,1,"Private room",1,2,1,"$85.00",1,1125,1,38.9136632831313,-77.03148933495,"Washington","20009","DC",85
"645","92%","76%",206,5,"Entire home/apt",2,2,3,"$229.00",3,1125,0,38.90637286756,-77.0299556689172,"Washington","20005","DC",229
"646","92%","91%",26,15,"Entire home/apt",6,3,9,"$500.00",1,28,41,38.9090882132938,-77.0231578633846,"Washington","20001","DC",500
"647","100%","100%",1,6,"Entire home/apt",1,1,4,"$250.00",1,14,6,38.9082501148838,-77.0339272010453,"Washington","20005","DC",250
"648","","",1,5,"Entire home/apt",1,1,2,"$117.00",6,1125,6,38.9064277287545,-77.0250099880277,"Washington","20001","DC",117
"649","100%","100%",3,11,"Entire home/apt",3,2.5,3,"$298.00",2,60,69,38.9068882066774,-77.0250837655979,"Washington","20001","DC",298
"650","92%","91%",26,6,"Entire home/apt",2,1,4,"$200.00",1,1125,8,38.9064124399569,-77.0238831961805,"Washington","20001","DC",200
"651","100%","100%",4,4,"Entire home/apt",1,1,2,"$110.00",1,1125,0,38.9091073621683,-77.0300756507249,"Washington","20005","DC",110
"652","100%","99%",4,2,"Entire home/apt",0,1,1,"$120.00",1,1125,38,38.908273718723,-77.0315669793834,"Washington","20005","DC",120
"653","100%","95%",5,10,"Entire home/apt",3,3,6,"$450.00",2,1125,6,38.911639298197,-77.0221869700163,"Washington","20001","DC",450
"654","100%","100%",1,4,"Entire home/apt",1,1,2,"$99.00",2,365,54,38.9116745735028,-77.0179713480527,"Washington, D.C.","20001","DC",99
"655","75%","",1,8,"Entire home/apt",2,0,4,"$275.00",2,7,7,38.9075658605194,-77.0185771790587,"Washington","20001","DC",275
"656","98%","52%",49,2,"Private room",1,1,1,"$185.00",2,14,0,38.9086739193199,-77.0289439932039,"Washington","20005","DC",185
"657","100%","100%",1,5,"Entire home/apt",1,1,2,"$120.00",1,1125,2,38.9116012351553,-77.0226535442326,"Washington","20001","DC",120
"658","100%","67%",1,2,"Entire home/apt",0,1,1,"$150.00",1,1125,4,38.9082208177329,-77.0330754451332,"Washington","20005","DC",150
"659","80%","100%",1,3,"Entire home/apt",1,1,1,"$121.00",1,7,2,38.9089865256964,-77.0220079754185,"Washington","20001","DC",121
"660","","",1,2,"Private room",1,1,1,"$75.00",1,1125,0,38.9063901325681,-77.0301938848249,"Washington","20005","DC",75
"661","86%","100%",1,2,"Entire home/apt",0,1,1,"$105.00",4,32,26,38.9112373695268,-77.0288324415462,"Washington","20001","DC",105
"662","70%","100%",1,2,"Entire home/apt",0,1,1,"$150.00",1,1125,4,38.9100910852636,-77.0330945169433,"Washington","20005","DC",150
"663","100%","67%",1,4,"Entire home/apt",0,1,1,"$100.00",2,1125,4,38.9078576034451,-77.0314610012573,"Washington","20005","DC",100
"664","58%","51%",480,4,"Entire home/apt",2,2,2,"$249.00",7,365,0,38.9071663315319,-77.0232350225254,"Washington","20229","DC",249
"665","100%","100%",1,5,"Entire home/apt",2,1,2,"$275.00",2,1125,15,38.9070610625548,-77.0258712706838,"Washington","20001","DC",275
"666","100%","95%",3,4,"Entire home/apt",2,2,2,"$160.00",2,1125,12,38.9111265390632,-77.0219302525006,"Washington","20001","DC",160
"667","20%","100%",1,6,"Entire home/apt",3,3.5,3,"$475.00",3,1125,1,38.9109845012317,-77.0298683101632,"Washington","20009","DC",475
"668","100%","100%",1,2,"Entire home/apt",0,1,1,"$115.00",3,365,41,38.9097274784102,-77.0204398869387,"Washington","20001","DC",115
"669","100%","97%",3,6,"Shared room",1,2.5,16,"$45.00",1,1125,2,38.9105397956804,-77.0227834749972,"Washington","20001","DC",45
"670","80%","100%",1,6,"Entire home/apt",2,2.5,2,"$150.00",3,29,51,38.9099408886543,-77.0200167326572,"Washington","20001","DC",150
"671","76%","50%",1,2,"Private room",1,1,1,"$90.00",3,1125,5,38.9058154635992,-77.0210004890999,"Washington","20001","DC",90
"672","100%","100%",1,4,"Entire home/apt",1,1,2,"$217.00",4,1125,5,38.9125166006138,-77.0290900139918,"Washington","20009","DC",217
"673","80%","100%",1,2,"Private room",1,2,1,"$97.00",2,14,5,38.9110885690912,-77.0295207588927,"Washington","20005","DC",97
"674","100%","93%",6,14,"Entire home/apt",5,3,7,"$399.00",1,1125,2,38.9078736063195,-77.0263670232783,"Washington","20009","DC",399
"675","80%","79%",1,4,"Entire home/apt",0,1,2,"$118.00",1,14,28,38.9066345098666,-77.0323012026506,"Washington","20005","DC",118
"676","97%","100%",6,4,"Entire home/apt",1,1,2,"$130.00",4,90,31,38.9069216697318,-77.0242379154512,"Washington","20001","DC",130
"677","100%","97%",3,6,"Shared room",1,1,6,"$36.00",1,1125,11,38.9119182705721,-77.021905199059,"Washington","20001","DC",36
"678","100%","",1,4,"Entire home/apt",1,1,1,"$100.00",1,1125,0,38.9086647413153,-77.0294726816823,"Washington","20005","DC",100
"679","100%","100%",1,3,"Entire home/apt",1,1,1,"$125.00",2,1125,1,38.9081976639356,-77.031134265648,"Washington","20005","DC",125
"680","100%","95%",5,7,"Private room",1,2,4,"$300.00",3,1125,8,38.9108077937777,-77.0215895408793,"Washington","20001","DC",300
"681","","",1,4,"Entire home/apt",2,2,2,"$199.00",2,366,0,38.9067507533585,-77.016929811818,"Washington","20001","DC",199
"682","100%","83%",1,4,"Entire home/apt",2,1.5,2,"$150.00",1,1125,2,38.9081168988762,-77.0283197640331,"Washington","20005","DC",150
"683","100%","100%",1,2,"Entire home/apt",0,1,1,"$125.00",2,10,23,38.9067575256237,-77.0337718968793,"Washington","20005","DC",125
"684","100%","86%",1,2,"Private room",1,1,1,"$110.00",1,30,157,38.9066857170102,-77.0330524774501,"Washington","20005","DC",110
"685","100%","50%",1,4,"Entire home/apt",2,2,2,"$320.00",3,1125,0,38.9091204698131,-77.0329914924468,"Washington","20005","DC",320
"686","80%","69%",2,2,"Private room",1,1,1,"$88.00",1,1125,1,38.9071014070031,-77.0243919414714,"Washington","20001","DC",88
"687","100%","67%",1,5,"Entire home/apt",3,3,2,"$329.00",1,1125,4,38.9065807519624,-77.0168643257363,"Washington","20001","DC",329
"688","83%","33%",1,2,"Entire home/apt",1,1,1,"$99.00",1,1125,3,38.9130063947754,-77.0293847409922,"Washington","20009","DC",99
"689","100%","89%",2,1,"Private room",1,1,1,"$59.00",2,1125,8,38.8886800901462,-76.9299678434563,"Washington","20019","DC",59
"690","100%","100%",1,6,"Entire home/apt",2,1,2,"$70.00",3,365,80,38.889109045872,-76.9359778171817,"Washington","20019","DC",70
"691","75%","",1,2,"Entire home/apt",1,1,1,"$75.00",1,1125,0,38.8880644878828,-76.9257311460458,"Washington","20019","DC",75
"692","100%","94%",2,3,"Private room",1,1,3,"$70.00",1,14,9,38.8895738294932,-76.9183542196533,"Washington","20019","DC",70
"693","","",1,1,"Private room",1,1,1,"$1,300.00",1,1125,0,38.8862405146717,-76.9304039193585,"Washington","20019","DC",1300
"694","100%","100%",1,1,"Private room",1,1,1,"$58.00",2,20,6,38.8862842959476,-76.9294225811454,"Washington","20019","DC",58
"695","100%","89%",2,2,"Private room",1,1,1,"$55.00",1,1125,1,38.8886672841894,-76.9291291865156,"Washington","20019","DC",55
"696","100%","94%",2,2,"Private room",1,1,1,"$47.00",1,1125,50,38.8887995916576,-76.9175360066553,"Washington","20019","DC",47
"697","100%","70%",1,2,"Private room",1,1,1,"$60.00",1,31,36,38.9137700424875,-77.0833652698471,"Washington","20007","DC",60
"698","50%","",1,4,"Entire home/apt",1,1,2,"$135.00",2,7,4,38.9289036356505,-77.0841543975891,"Washington","20016","DC",135
"699","99%","96%",32,3,"Entire home/apt",1,1,2,"$89.00",4,120,75,38.9198802476869,-77.0979584094866,"Washington","20007","DC",89
"700","92%","100%",1,6,"Private room",1,1,5,"$150.00",1,1125,18,38.9299984938115,-77.1004869401454,"Washington","20016","DC",150
"701","100%","",2,1,"Private room",1,1,1,"$65.00",1,1125,1,38.9345034590966,-77.1103372705268,"Washington","20016","DC",65
"702","99%","96%",32,5,"Entire home/apt",1,1,2,"$109.00",2,365,28,38.9252700258732,-77.1012907513089,"Washington","20016","DC",109
"703","100%","100%",1,2,"Private room",1,1,1,"$69.00",2,1125,17,38.9059221702091,-77.0816389101392,"Washington","20007","DC",69
"704","50%","",2,4,"Entire home/apt",2,2.5,2,"$300.00",7,1125,0,38.9219734051512,-77.1024590577088,"Washington","20016","DC",300
"705","100%","100%",1,4,"Entire home/apt",1,1,2,"$114.00",3,1125,18,38.9086511106914,-77.0881346032289,"Washington","20007","DC",114
"706","80%","",3,1,"Private room",1,1,1,"$100.00",4,1125,0,38.9099641928404,-77.0873226787801,"Washington","20007","DC",100
"707","90%","100%",2,1,"Private room",1,1,1,"$69.00",2,365,5,38.9288357299669,-77.1003983180412,"Washington","20016","DC",69
"708","100%","100%",1,6,"Entire home/apt",3,3.5,4,"$350.00",2,1125,1,38.9416019407694,-77.0964612029844,"Washington","20016","DC",350
"709","90%","100%",1,1,"Private room",1,1,1,"$100.00",2,180,13,38.9289926297385,-77.1022697072991,"Washington","20016","DC",100
"710","80%","",3,1,"Private room",1,1,1,"$115.00",4,1125,0,38.910147626077,-77.0867654781659,"Washington","20007","DC",115
"711","83%","67%",1,1,"Private room",1,1,1,"$43.00",1,1125,0,38.9212172729561,-77.1002054609144,"Washington","20016","DC",43
"712","50%","100%",1,1,"Private room",1,1,1,"$50.00",1,1125,0,38.9111443258147,-77.0821999443409,"Washington","20007","DC",50
"713","100%","",2,9,"Entire home/apt",4,2,4,"$380.00",3,1125,1,38.9090889348673,-77.0819594352246,"Washington","20007","DC",380
"714","50%","",2,2,"Private room",1,1,1,"$80.00",3,365,14,38.9231983987343,-77.1016631028901,"Washington","20016","DC",80
"715","99%","96%",32,2,"Entire home/apt",1,1,1,"$149.00",4,109,8,38.9215006059678,-77.0990796945456,"Washington","20016","DC",149
"716","80%","100%",1,1,"Private room",1,1,1,"$39.00",1,1125,0,38.909695766646,-77.087119658404,"Washington","20007","DC",39
"717","","",1,3,"Entire home/apt",1,1,3,"$50.00",1,1125,1,38.9339465096029,-77.1095221984099,"Washington","20016","DC",50
"718","99%","89%",25,5,"Entire home/apt",0,1,1,"$115.00",3,1125,15,38.9070767830242,-77.079914143531,"Washington","20007","DC",115
"719","","",1,9,"Entire home/apt",5,3.5,6,"$850.00",1,1125,0,38.9316073599967,-77.0919115040124,"Washington","20016","DC",850
"720","100%","",2,1,"Private room",1,1,1,"$58.00",14,1125,0,38.9357251038952,-77.1105253541783,"Washington","20016","DC",58
"721","100%","100%",2,11,"Entire home/apt",6,4.5,11,"$650.00",7,1125,2,38.9184580745218,-77.0947886651209,"Washington","20007","DC",650
"722","100%","",1,4,"Entire home/apt",1,1,2,"$150.00",6,30,5,38.9149157095745,-77.089907021488,"Washington","20007","DC",150
"723","80%","75%",2,2,"Private room",1,1,1,"$99.00",2,45,1,38.9432028792958,-77.0938281598287,"Washington","20016","DC",99
"724","50%","67%",1,1,"Private room",1,1,1,"$40.00",1,1125,0,38.9091533802138,-77.0877592055051,"Washington","20007","DC",40
"725","80%","",3,2,"Private room",1,1,1,"$110.00",4,1125,0,38.911361705498,-77.0871665805409,"Washington","20007","DC",110
"726","80%","0%",1,3,"Entire home/apt",1,1,1,"$165.00",1,1125,4,38.9179349387868,-77.096022951837,"Washington","20007","DC",165
"727","100%","",2,5,"Entire home/apt",1,2.5,4,"$600.00",4,1125,0,38.918961294907,-77.0981172693647,"Washington","20007","DC",600
"728","50%","0%",1,8,"Entire home/apt",5,4,6,"$299.00",2,1125,8,38.9229003652351,-77.098213345075,"Washington","20016","DC",299
"729","","",1,2,"Private room",1,1,2,"$120.00",1,1125,1,38.909877336747,-77.0807888630063,"Washington","20007","DC",120
"730","50%","",1,6,"Entire home/apt",3,2.5,4,"$260.00",3,60,28,38.9060629330757,-77.0805000770268,"Washington","20007","DC",260
"731","100%","100%",1,2,"Entire home/apt",1,1,1,"$125.00",1,1125,4,38.9107953483579,-77.0872099295471,"Washington","20007","DC",125
"732","100%","100%",1,8,"Entire home/apt",4,4.5,5,"$500.00",3,1125,8,38.9325229378436,-77.0872513885168,"Washington","20016","DC",500
"733","100%","0%",1,3,"Private room",1,1,2,"$175.00",1,1125,2,38.9292604972954,-77.0850243136422,"Washington","20016","DC",175
"734","91%","95%",4,1,"Private room",1,2,1,"$33.00",1,1125,10,38.9050105711427,-76.9413192998992,"Washington","20019","DC",33
"735","91%","95%",4,3,"Private room",1,1,3,"$40.00",1,1125,46,38.9065542017246,-76.9418652471829,"Washington","20019","DC",40
"736","100%","89%",2,2,"Private room",1,2,1,"$60.00",1,365,67,38.9064493918152,-76.9430500422135,"Washington","20019","DC",60
"737","91%","95%",4,2,"Private room",1,1,2,"$33.00",1,1125,34,38.9067868512401,-76.9424763950139,"Washington","20019","DC",33
"738","100%","89%",2,1,"Private room",1,1,1,"$50.00",1,1125,7,38.9072823223008,-76.9433854527485,"Washington","20019","DC",50
"739","100%","100%",1,2,"Private room",1,1,1,"$49.00",1,1125,11,38.9047560757812,-76.9793659255671,"Washington","20002","DC",49
"740","95%","96%",3,1,"Private room",1,1,3,"$38.00",2,1125,2,38.9013767856877,-76.9756074587681,"Washington","20002","DC",38
"741","100%","100%",1,2,"Private room",1,1,1,"$65.00",1,1125,2,38.9125141212908,-76.9864092640506,"Washington","20002","DC",65
"742","100%","100%",1,2,"Private room",1,1,1,"$49.00",1,1125,3,38.9068574177423,-76.9837636713767,"Washington","20002","DC",49
"743","100%","100%",2,2,"Private room",1,1,1,"$59.00",2,11,66,38.9058056270385,-76.9957667511049,"Washington","20002","DC",59
"744","","",1,4,"Entire home/apt",2,2,2,"$200.00",2,28,0,38.9008211764906,-76.9738808834496,"Washington","20002","DC",200
"745","96%","90%",4,5,"Entire home/apt",1,1,3,"$113.00",1,1125,0,38.9019159095908,-76.9881605015857,"Washington","20002","DC",113
"746","100%","50%",2,8,"Entire home/apt",4,2,4,"$250.00",2,1125,13,38.9030627876689,-76.9904004464995,"Washington","20002","DC",250
"747","95%","96%",3,6,"Private room",1,1,3,"$65.00",2,365,9,38.8997056687324,-76.9754730750784,"Washington","20002","DC",65
"748","100%","100%",2,5,"Entire home/apt",3,2.5,4,"$169.00",4,30,4,38.9107435865015,-76.9853141515865,"Washington","20002","DC",169
"749","100%","",1,16,"Private room",1,1,1,"$1,000.00",1,1125,0,38.9013217944944,-76.986356012002,"Washington","20002","DC",1000
"750","100%","",1,4,"Entire home/apt",1,1,1,"$99.00",1,1125,0,38.9129224555281,-76.9886847190426,"Washington","20002","DC",99
"751","100%","100%",3,4,"Entire home/apt",2,1,2,"$145.00",3,1125,6,38.9052562052346,-76.9959874778188,"Washington","20002","DC",145
"752","20%","",1,2,"Entire home/apt",2,1,2,"$115.00",1,1125,4,38.9045011052606,-76.9753735682871,"Washington","20002","DC",115
"753","100%","100%",1,2,"Entire home/apt",1,1,1,"$100.00",1,1125,11,38.9056724179804,-76.9793751951453,"Washington","20002","DC",100
"754","88%","88%",1,2,"Private room",1,1,1,"$55.00",3,1125,4,38.90612847003,-76.9965381944528,"Washington","20002","DC",55
"755","100%","",1,1,"Private room",1,1,1,"$55.00",1,1125,0,38.900692404675,-76.9749777846787,"Washington","20002","DC",55
"756","95%","96%",3,1,"Private room",1,1,1,"$34.00",1,1125,0,38.9016268158711,-76.9742636171123,"Washington","20002","DC",34
"757","100%","98%",3,4,"Entire home/apt",1,1,1,"$99.00",2,365,13,38.9046464677437,-76.9875944038803,"Washington","20002","DC",99
"758","100%","0%",1,4,"Entire home/apt",2,1.5,2,"$105.00",1,1125,0,38.9055643642908,-76.9828160772943,"Washington","20002","DC",105
"759","100%","100%",1,4,"Entire home/apt",2,1,3,"$125.00",1,1125,1,38.905863305756,-76.9825565779917,"Washington","20002","DC",125
"760","64%","97%",2,2,"Private room",1,1,1,"$44.00",2,1125,4,38.9051587791174,-76.9842064825401,"Washington","20002","DC",44
"761","67%","100%",1,2,"Entire home/apt",0,1,1,"$67.00",1,6,2,38.9050380801301,-76.9770622631048,"Washington","20002","DC",67
"762","96%","90%",4,1,"Private room",1,1,1,"$43.00",1,1125,0,38.9027557148137,-76.986520138023,"Washington","20002","DC",43
"763","","",1,1,"Shared room",1,1,1,"$30.00",1,1,1,38.9020358882629,-76.9805577447567,"Washington","20002","DC",30
"764","96%","90%",4,7,"Entire home/apt",3,1.5,4,"$192.00",1,1125,3,38.9026907207258,-76.9880841437082,"Washington","20002","DC",192
"765","64%","97%",2,2,"Private room",1,1,1,"$46.00",2,100,4,38.9034235953604,-76.9840286466642,"Washington","20002","DC",46
"766","100%","100%",2,2,"Entire home/apt",1,1,1,"$95.00",3,1125,0,38.9029040947894,-76.9898620805718,"Washington","20002","DC",95
"767","100%","100%",1,7,"Entire home/apt",3,2.5,3,"$175.00",3,1125,0,38.9041082565553,-76.9862661429194,"Washington","20002","DC",175
"768","90%","100%",1,2,"Private room",1,1,1,"$65.00",1,160,27,38.9026539283076,-76.9818466393457,"Washington","20002","DC",65
"769","90%","90%",1,3,"Entire home/apt",1,1,1,"$79.00",1,1125,5,38.9001694739365,-76.9768448468098,"Washington","20002","DC",79
"770","100%","100%",1,6,"Entire home/apt",3,2,3,"$299.00",2,29,25,38.9013332678719,-76.9848842027861,"Washington","20002","DC",299
"771","","",1,2,"Entire home/apt",1,1,2,"$135.00",1,1125,1,38.8985310227956,-76.9720001609443,"Washington","20002","DC",135
"772","71%","100%",2,2,"Private room",1,1,1,"$59.00",2,1125,26,38.9028224520465,-76.982733853212,"Washington","20002","DC",59
"773","100%","100%",2,3,"Private room",1,1.5,2,"$94.00",2,31,15,38.9108738178087,-76.9864178995159,"Washington","20002","DC",94
"774","100%","100%",1,4,"Entire home/apt",1,1,2,"$99.00",1,31,18,38.9038378314308,-76.9891055507133,"Washington","20002","DC",99
"775","90%","60%",1,2,"Private room",1,2,1,"$70.00",2,1125,14,38.9022135726286,-76.988366293825,"Washington","20002","DC",70
"776","100%","100%",1,5,"Entire home/apt",2,1,2,"$140.00",2,1125,11,38.9060677010547,-76.9914669702229,"Washington","20002","DC",140
"777","100%","",1,4,"Entire home/apt",1,1,2,"$95.00",1,1125,0,38.9113081495845,-76.9866887755306,"Washington","20002","DC",95
"778","71%","100%",2,4,"Private room",1,1,2,"$71.00",2,1125,27,38.9019042139598,-76.9848273024526,"Washington","20002","DC",71
"779","60%","75%",1,2,"Private room",1,1,1,"$74.00",1,1125,3,38.9026666834266,-76.9844049672166,"Washington","20002","DC",74
"780","100%","",1,2,"Private room",1,1.5,1,"$129.00",3,1125,11,38.9085556113867,-76.9996439330882,"Washington","20002","DC",129
"781","","",1,2,"Private room",1,1,1,"$150.00",1,4,0,38.9046010161449,-76.9816808884766,"Washington","20002","DC",150
"782","96%","90%",4,2,"Private room",1,1,1,"$70.00",1,1125,4,38.9020300962321,-76.9861683094008,"Washington","20002","DC",70
"783","95%","100%",1,3,"Private room",1,1,1,"$60.00",1,1125,6,38.9095798985539,-76.9815399560877,"Washington","20002","DC",60
"784","100%","100%",1,2,"Private room",1,1.5,1,"$79.00",1,32,7,38.9123004506367,-76.9855688635685,"Washington","20002","DC",79
"785","100%","100%",1,2,"Private room",1,1,1,"$79.00",1,1125,75,38.9076893829367,-76.9871748065412,"Washington","20002","DC",79
"786","84%","100%",2,2,"Private room",1,1,1,"$120.00",2,15,8,38.9023990079493,-76.9861934889039,"Washington","20002","DC",120
"787","100%","100%",1,2,"Private room",1,1,1,"$75.00",2,90,8,38.9035027153739,-76.9886964207445,"Washington","20002","DC",75
"788","50%","57%",1,2,"Entire home/apt",1,1,1,"$120.00",3,16,19,38.9004628257668,-76.9800911028108,"Washington","20002","DC",120
"789","84%","100%",2,8,"Entire home/apt",4,4,5,"$350.00",1,15,20,38.9031018101232,-76.9852901947554,"Washington","20002","DC",350
"790","100%","88%",1,2,"Entire home/apt",1,1,1,"$85.00",1,3,5,38.9084895905501,-76.9863223579293,"Washington","20002","DC",85
"791","100%","50%",2,2,"Private room",1,1,1,"$75.00",2,1125,4,38.9033600075681,-76.9891812689675,"Washington","20002","DC",75
"792","100%","95%",3,12,"Entire home/apt",5,2,5,"$215.00",2,1825,34,38.9061177283677,-76.9888730923821,"Washington","20002","DC",215
"793","90%","100%",1,2,"Entire home/apt",1,1,1,"$96.00",2,1125,54,38.9039506183689,-76.9895209066352,"Washington","20002","DC",96
"794","","",1,6,"Entire home/apt",2,2,3,"$165.00",3,1125,1,38.9017205526605,-76.9862062162628,"Washington","20002","DC",165
"795","100%","100%",1,7,"Entire home/apt",3,2,4,"$239.00",3,180,30,38.9057508821828,-76.9959860866439,"Washington","20002","DC",239
"796","100%","100%",1,2,"Private room",1,1,1,"$72.00",4,1125,24,38.905992542224,-76.9963466998559,"Washington","20002","DC",72
"797","100%","97%",1,2,"Private room",1,1,1,"$60.00",1,5,23,38.9025732264609,-76.9811670691854,"Washington","20002","DC",60
"798","82%","57%",2,2,"Entire home/apt",1,1,2,"$90.00",1,60,33,38.9004812187021,-76.9836128073613,"Washington","20002","DC",90
"799","100%","100%",1,4,"Entire home/apt",1,1,1,"$128.00",1,30,85,38.903859764278,-76.9821934380326,"Washington","20002","DC",128
"800","78%","63%",2,4,"Entire home/apt",2,1,2,"$150.00",1,1125,2,38.9045398077803,-76.9727254736554,"Washington","20002","DC",150
"801","78%","63%",2,2,"Private room",1,1,1,"$75.00",1,1125,0,38.9025538392828,-76.9732569994962,"Washington","20002","DC",75
"802","99%","88%",16,5,"Entire home/apt",2,2,3,"$350.00",2,1125,14,38.9049725376331,-77.0572759048724,"Washington","20007","DC",350
"803","70%","78%",1,4,"Entire home/apt",2,1,2,"$195.00",1,1125,6,38.915754648209,-77.0745821083762,"Washington","20007","DC",195
"804","100%","25%",6,1,"Entire home/apt",0,1,1,"$95.00",5,1125,0,38.9054237171803,-77.0574696740164,"Washington","20007","DC",95
